Last-Updated: 2022-07-01
trip_origin_date|mode_name|ti_region|tap_hour|Tap_Ons|Tap_Offs
2020-01-01|Light rail|Other|3|400|200
2020-01-01|Light rail|Sydney CBD|3|100|400
2020-01-01|Light rail|All - NSW|3|500|600
2020-01-01|Light rail|Newcastle and surrounds|4|<50|<50
2020-01-01|Light rail|Other|4|100|100
2020-01-01|Light rail|Sydney CBD|4|100|200
2020-01-01|Light rail|All - NSW|4|200|300
2020-01-01|Light rail|Newcastle and surrounds|5|<50|<50
2020-01-01|Light rail|Other|5|200|100
2020-01-01|Light rail|Sydney CBD|5|100|200
2020-01-01|Light rail|All - NSW|5|300|300
2020-01-01|Light rail|Newcastle and surrounds|6|<50|<50
2020-01-01|Light rail|Other|6|200|100
2020-01-01|Light rail|Sydney CBD|6|200|300
2020-01-01|Light rail|All - NSW|6|400|400
2020-01-01|Light rail|Newcastle and surrounds|7|<50|<50
2020-01-01|Light rail|Other|7|200|200
2020-01-01|Light rail|Sydney CBD|7|200|300
2020-01-01|Light rail|All - NSW|7|400|500
2020-01-01|Light rail|Newcastle and surrounds|8|<50|<50
2020-01-01|Light rail|Other|8|200|200
2020-01-01|Light rail|Sydney CBD|8|300|300
2020-01-01|Light rail|All - NSW|8|500|500
2020-01-01|Light rail|Newcastle and surrounds|9|100|100
2020-01-01|Light rail|Other|9|400|500
2020-01-01|Light rail|Sydney CBD|9|900|500
2020-01-01|Light rail|All - NSW|9|1400|1100
2020-01-01|Light rail|Newcastle and surrounds|10|200|200
2020-01-01|Light rail|Other|10|700|700
2020-01-01|Light rail|Sydney CBD|10|1700|1200
2020-01-01|Light rail|All - NSW|10|2600|2100
2020-01-01|Light rail|Newcastle and surrounds|11|200|100
2020-01-01|Light rail|Other|11|1000|1200
2020-01-01|Light rail|Sydney CBD|11|3000|2500
2020-01-01|Light rail|All - NSW|11|4200|3800
2020-01-01|Light rail|Newcastle and surrounds|12|200|200
2020-01-01|Light rail|Other|12|1300|1500
2020-01-01|Light rail|Sydney CBD|12|3700|3200
2020-01-01|Light rail|All - NSW|12|5200|4900
2020-01-01|Light rail|Newcastle and surrounds|13|200|200
2020-01-01|Light rail|North Sydney|13|<50|<50
2020-01-01|Light rail|Other|13|1400|1700
2020-01-01|Light rail|Sydney CBD|13|3800|3500
2020-01-01|Light rail|All - NSW|13|5400|5400
2020-01-01|Light rail|Newcastle and surrounds|14|200|200
2020-01-01|Light rail|Other|14|1400|1700
2020-01-01|Light rail|Sydney CBD|14|4100|3800
2020-01-01|Light rail|All - NSW|14|5700|5700
2020-01-01|Light rail|Newcastle and surrounds|15|100|100
2020-01-01|Light rail|Other|15|1300|1500
2020-01-01|Light rail|Sydney CBD|15|4100|4000
2020-01-01|Light rail|All - NSW|15|5500|5600
2020-01-01|Light rail|Newcastle and surrounds|16|100|100
2020-01-01|Light rail|Other|16|1200|1400
2020-01-01|Light rail|Sydney CBD|16|3900|3900
2020-01-01|Light rail|All - NSW|16|5200|5400
2020-01-01|Light rail|Newcastle and surrounds|17|100|100
2020-01-01|Light rail|Other|17|1100|1300
2020-01-01|Light rail|Sydney CBD|17|3600|3400
2020-01-01|Light rail|All - NSW|17|4800|4800
